questions,keys,datadic
"19a. The child's father acted very worried, upset, or sad, not because of something the child did.",NLES_P_19a,NLES_P
"19b. If yes, the child was aware that father acted very worried or sad",NLES_P_19b,NLES_P
"19c. If yes, how upset was the child that father acted very worried or sad",NLES_P_19c,NLES_P
"20a. The child's mother acted very worried, upset, or sad, not because of something the child did.",NLES_P_20a,NLES_P
"20b. If yes, the child was aware that mother acted very worried or sad.",NLES_P_20b,NLES_P
"20c. If yes, how upset was the child that mother acted very worried or sad.",NLES_P_20c,NLES_P
21a. The child changed schools.,NLES_P_21a,NLES_P
"21b. If yes, the child was aware that s/he changed schools.",NLES_P_21b,NLES_P
"21c. If yes, the child was upset that s/he changed schools.",NLES_P_21c,NLES_P
Total # of Negative Events,NLES_P_TotalEvents,NLES_P
# of Negative Events the Child was aware of,NLES_P_Aware,NLES_P
Child's Total Upsetness/Negative Events,NLES_P_Upset_Total,NLES_P
Child's Average Upsetness/Negative Events,NLES_P_Upset_Avg,NLES_P
"1a. Your brother/sister was in serious trouble (such as trouble with the law, school, or drugs)",NLES_SR_01a,NLES_SR
"1b. If yes, how many times did this happen?",NLES_SR_01b,NLES_SR
"1c. If yes, how upset were you that your brother or sister was in serious trouble?",NLES_SR_01c,NLES_SR
"2a. Your close friend had serious troubles, problems, illness, or injury",NLES_SR_02a,NLES_SR
"2b. If yes, how many times did this happen?",NLES_SR_02b,NLES_SR
"2c. If yes, how upset were you that your close friend had serious troubles?",NLES_SR_02c,NLES_SR
"3a. You suffered from a serious physical illness, injury, or extreme pain (something that required rest of one week in bed, hospitalization, or surgery).",NLES_SR_03a,NLES_SR
"3b. If yes, how many times did this happen?",NLES_SR_03b,NLES_SR
"3c. If yes, how upset were you that you suffered from a serious illness or injury?",NLES_SR_03c,NLES_SR
"4a. Your brother or sister suffered from serious physical illenss, injury, or extreme pain (something that required rest for one week in bed, hospitalization, or surgery).",NLES_SR_04a,NLES_SR
"4b. If yes, how many times did this happen?",NLES_SR_04b,NLES_SR
"4c. If yes, how upset were you that your brother/sister suffered a serious illness or injury?",NLES_SR_04c,NLES_SR
5a. One of your brothers or sisters was very angry or upset.,NLES_SR_05a,NLES_SR
"5b. If yes, how many times did this happen?",NLES_SR_05b,NLES_SR
"5c. If yes, how upset were you that your brother/sister was very angry or upset?",NLES_SR_05c,NLES_SR
6a. Your parents physically hit each other or hurt each other.,NLES_SR_06a,NLES_SR
"6b. If yes, how many times did this happen?",NLES_SR_06b,NLES_SR
"6c. If yes, how upset were you that your parents hurt each other?",NLES_SR_06c,NLES_SR
7a. People in your family other than your parents (such as your brothers or sisters) physically hit each other hard or hurt each other.,NLES_SR_07a,NLES_SR
"7b. If yes, how many times did this happen?",NLES_SR_07b,NLES_SR
"7c. If yes, how upset were you that people in your family hit each other hard or hurt each other?",NLES_SR_07c,NLES_SR
"8a. Your mom or dad suffered from serious illness, injury, or extreme pain, something that required rest for one week in bed, hospitalizaion, or surgery.",NLES_SR_08a,NLES_SR
"8b. If yes, how many times did this happen?",NLES_SR_08b,NLES_SR
"8c. If yes, how upset were you that your mother or father suffered from serious illness or injury?",NLES_SR_08c,NLES_SR
9a. Your mom or dad talked about having serious money troubles (being worried about bills for ordinary things).,NLES_SR_09a,NLES_SR
"9b. If yes, how many times did this happen?",NLES_SR_09b,NLES_SR
"9c. If yes, how upset were you that your mother or father talked about having serious money troubles?",NLES_SR_09c,NLES_SR
"10a. Your relatives such as aunts, uncles, grandparents said bad things about your mother or father.",NLES_SR_10a,NLES_SR
"10b. If yes, how many times did this happen?",NLES_SR_10b,NLES_SR
"10c. If yes, how upset were you that your relatives said bad things about your mother or father?",NLES_SR_10c,NLES_SR
"11a. Your mother or father fought or argued with your relatives such as aunts, uncles, grandparents",NLES_SR_11a,NLES_SR
"11b. If yes, how many times did this happen?",NLES_SR_11b,NLES_SR
"11c. If yes, how upset were you that your mother or father fought or argued with your relatives",NLES_SR_11c,NLES_SR
12a. People in your neighborhood said bad things about your mom or dad.,NLES_SR_12a,NLES_SR
"12b. If yes, how many times did this happen?",NLES_SR_12b,NLES_SR
"12c. If yes, how upset were you that people in your neighborhood said bad things about your mom or dad?",NLES_SR_12c,NLES_SR
13a. Your mother or father acted badly in front of your friends (did things like yelled at them or criticized them).,NLES_SR_13a,NLES_SR
"13b. If yes, how many times did this happen?",NLES_SR_13b,NLES_SR
"13c. If yes, how upset were you that your mother or father acted badly in front of your friends?",NLES_SR_13c,NLES_SR
14a. You saw your mom or dad drunk.,NLES_SR_14a,NLES_SR
"14b. If yes, how many times did this happen?",NLES_SR_14b,NLES_SR
"14c. If yes, how upset were you to see your mom or dad drunk?",NLES_SR_14c,NLES_SR
"15a. Your mom or dad forgot to do important things for you that they promised they would do, such as take you on a trip, take you to nice places, or come to your school or athletic activities.",NLES_SR_15a,NLES_SR
"15b. If yes, how many times did this happen?",NLES_SR_15b,NLES_SR
"15c. If yes, how upset were you that your mom or dad forgot to do important things for you?",NLES_SR_15c,NLES_SR
16a. Your mom or dad was arrested or sent to jail.,NLES_SR_16a,NLES_SR
"16b. If yes, how many times did this happen?",NLES_SR_16b,NLES_SR
"16c. If yes, how upset were you that your mom or dad was arrested or sent to jail?",NLES_SR_16c,NLES_SR
17a. Your mom or dad lost their joc.,NLES_SR_17a,NLES_SR
"17b. If yes, how many times did this happen?",NLES_SR_17b,NLES_SR
"17c. If yes, how upset were you that your mom or dad lost their job?",NLES_SR_17c,NLES_SR
"18a. A close family member died such as a parent, close uncle, grandparent, or some other relative.",NLES_SR_18a,NLES_SR
"18b. If yes, how many times did this happen?",NLES_SR_18b,NLES_SR
"18c. If yes, how upset were you that your close family member died?",NLES_SR_18c,NLES_SR
19a. A close friend of yours died,NLES_SR_19a,NLES_SR
"19b. If yes, how many times did this happen?",NLES_SR_19b,NLES_SR
"19c. If yes, how upset were you that your close friend died?",NLES_SR_19c,NLES_SR
20a. A close friend of yours moved away.,NLES_SR_20a,NLES_SR
"20b. If yes, how many times did this happen?",NLES_SR_20b,NLES_SR
"20c. If yes, how upset were you that your close friend moved away?",NLES_SR_20c,NLES_SR
"21a. Dad acted very worried, upset, or sad, not because of something you did.",NLES_SR_21a,NLES_SR
"21b. If yes, how many times did this happen?",NLES_SR_21b,NLES_SR
"21c. If yes, how upset were you that your dad acted very worried or sad?",NLES_SR_21c,NLES_SR
"22a. Mom acted very worried, upset, or sad, not because of something you did.",NLES_SR_22a,NLES_SR
"22b. If yes, how many times did this happen?",NLES_SR_22b,NLES_SR
"22c. If yes, how upset were you that your mom acted very worried or sad?",NLES_SR_22c,NLES_SR
Total number of negative events,NLES_SR_AvgEvents,NLES_SR
Total number of times an event happened,NLES_SR_TotalEvents,NLES_SR
Average number of egative events,NLES_SR_TotalOccurrence,NLES_SR
Total upsetness,NLES_SR_Upset_Total,NLES_SR
Average upsetness,NLES_SR_Upset_Avg,NLES_SR
1. Interested,PANAS_01,PANAS
2. Distressed,PANAS_02,PANAS
3. Excited,PANAS_03,PANAS
4. Upset,PANAS_04,PANAS
5. Strong,PANAS_05,PANAS
6. Guilty,PANAS_06,PANAS
7. Scared,PANAS_07,PANAS
8. Hostile,PANAS_08,PANAS
9. Enthusiastic,PANAS_09,PANAS
10. Proud,PANAS_10,PANAS
11. Irritable,PANAS_11,PANAS
12. Alert,PANAS_12,PANAS
13. Ashamed,PANAS_13,PANAS
14. Inspired,PANAS_14,PANAS
15. Nervous,PANAS_15,PANAS
16. Determined,PANAS_16,PANAS
17. Attentive,PANAS_17,PANAS
18. Jittery,PANAS_18,PANAS
19. Active,PANAS_19,PANAS
20. Afraid,PANAS_20,PANAS
Positive Affect Score,PANAS_PositiveAffect,PANAS
Negative Affect Score,PANAS_NegativeAffect,PANAS
Skipping,PAQ_A_01a,PAQ_A
Rowing/canoeing,PAQ_A_01b,PAQ_A
In-line skating,PAQ_A_01c,PAQ_A
Tag,PAQ_A_01d,PAQ_A
Walking for exercise,PAQ_A_01e,PAQ_A
Bicycling,PAQ_A_01f,PAQ_A
Jogging or running,PAQ_A_01g,PAQ_A
Aerobics,PAQ_A_01h,PAQ_A
Swimming,PAQ_A_01i,PAQ_A
"Baseball, softball",PAQ_A_01j,PAQ_A
Dance,PAQ_A_01k,PAQ_A
Football,PAQ_A_01l,PAQ_A
Badminton,PAQ_A_01m,PAQ_A
Skateboarding,PAQ_A_01n,PAQ_A
Soccer,PAQ_A_01o,PAQ_A
Street Hockey,PAQ_A_01p,PAQ_A
Volleyball,PAQ_A_01q,PAQ_A
Floor hockey,PAQ_A_01r,PAQ_A
Basketball,PAQ_A_01s,PAQ_A
Ice skating,PAQ_A_01t,PAQ_A
Cross-country skiing,PAQ_A_01u,PAQ_A
Ice hockey/ringette,PAQ_A_01v,PAQ_A
Name of other physical activity,PAQ_A_01w_text,PAQ_A
Frequency of other physical acitivity ,PAQ_A_01w,PAQ_A
Name of other physical activity,PAQ_A_01x_text,PAQ_A
Frequency of other physical acitivity ,PAQ_A_01x,PAQ_A
"In the last 7 days, during your physical education (PE) classes, how often were you very active (playing hard, running, jumping, throwing)? (Check one only)",PAQ_A_02,PAQ_A
"In the last 7 days, what did you normally do at lunch (besides eating lunch)? (Check one only)",PAQ_A_03,PAQ_A
"In the last 7 days, on how many days right after school, did you do sports, dance, or play games in which you were very active? (Check one only)",PAQ_A_04,PAQ_A
"In the last 7 days, on how many evenings did you do sports, dance, or play games in which you were very active? (Check one only)",PAQ_A_05,PAQ_A
"On the last weekend, how many times did you do sports, dance, or play games in which you were very active? (Check one only)",PAQ_A_06,PAQ_A
Which one of the following describes you best for the last 7 days? Read all five statements before deciding on the one answer that describes you.,PAQ_A_07,PAQ_A
Monday,PAQ_A_08a,PAQ_A
Tuesday,PAQ_A_08b,PAQ_A
Wednesday,PAQ_A_08c,PAQ_A
Thursday,PAQ_A_08d,PAQ_A
Friday,PAQ_A_08e,PAQ_A
Saturday,PAQ_A_08f,PAQ_A
Sunday,PAQ_A_08g,PAQ_A
"Were you sick last week, or did anything prevent you from doing your normal physical activities? (check one)",PAQ_A_09,PAQ_A
Total Score for Question 1,PAQ_A_01_Average,PAQ_A
Activity Summary Score,PAQ_A_Total,PAQ_A
What is your relation to the child?,Relation,PBQ
Please tell us the date of birth of the biological mother:,PBQ_01,PBQ
,PBQ_01A,PBQ
Please tell us the date of birth of the biological father:,PBQ_02,PBQ
,PBQ_02A,PBQ
Has the mother/ have you ever smoked a cigarette on occasion or on a regular basis?,PBQ_03,PBQ
"If yes, at the present time, does the mother/ do you smoke every day, on occasion, or not at all?",PBQ_03A,PBQ
"If yes, at what age did the mother/ you start smoking cigarettes?",PBQ_03B,PBQ
"If yes, at what age did the mother/ you start smoking cigarettes?",PBQ_03B_1,PBQ
"If yes, how many cigarettes does the mother/ do you smoke per day?",PBQ_03C,PBQ
"Before pregnancy, i.e. 12 MONTHS beforehand, did the mother/ you smoke every day, on occasion, or not at all?",PBQ_04,PBQ
"If yes, how many cigarettes did the mother/ you smoke per day before pregnancy?",PBQ_04A,PBQ
Did the mother/ you smoke cigarettes during pregancy?,PBQ_05,PBQ
"If yes, how many cigarettes did the mother/ you smoke during the first trimester?",PBQ_05A,PBQ
"If yes, how many cigarettes did the mother/ you smoke during the second trimester?",PBQ_05B,PBQ
"If yes, how many cigarettes did the mother/ you smoke during the third trimester?",PBQ_05C,PBQ
Did the mother/ you smoke during the breast feeding period?,PBQ_06,PBQ
"If yes, how many cigarettes did the mother/ you smoke during the breast feeding period?",PBQ_06A,PBQ
Was the father or any other person living with the mother/ you smoking during her/ your pregnancy?,PBQ_07,PBQ
"If yes, was the father or other person living with the mother/ you smoking during her/ your pregnancy IN THE PRESENCE of the mother/you?",PBQ_07A,PBQ
"If yes, how many cigarettes per day did they smoke during the mother's/ your pregnancy with her/ you being present?",PBQ_07B,PBQ
Could you please specify at which stage of the pregnancy they smoked this number of cigarettes?,PBQ_07C,PBQ
"A medical problem or a neurological disease requiring treatment (e.g. diabetes, hypertension, cancer, or convulsions)?",PBQ_08,PBQ
Was the mother (were you) granted leave from work because of pregnancy?,PBQ_09,PBQ
"If yes, could you please specify at which stage of pregnancy the mother was (you were) granted leave?",PBQ_09A,PBQ
Has the mother (have you) taken any PRESCRIBED medication during pregnancy?,PBQ_10,PBQ
"If yes, at which stage of pregnancy did the mother (you) take prescribed medication?",PBQ_10A,PBQ
Has the mother (have you) taken any UNPRESCRIBED medication during pregnancy?,PBQ_11,PBQ
"If yes, at which stage of pregnancy did the mother (you) take this medication?",PBQ_11A,PBQ
Has the mother (have you) taken any illicit drugs during pregnancy?,PBQ_12,PBQ
"If yes, at which stage of pregnancy did the mother (you) take illicit drugs?",PBQ_12A,PBQ
Has the mother/ have you consumed any alcohol during pregnancy?,PBQ_13,PBQ
"If yes, did the mother (you) have beer and if so: what kind of beer (please write down the type)?",PBQ_13A,PBQ
How much beer did the mother/ did you have per week?,PBQ_13B,PBQ
"If yes, did the mother/ you have wine and if so: what kind of wine (please write down the type)?",PBQ_13D,No Key
How much wine did the mother/ did you have per week?,PBQ_13E,PBQ
"If yes, did the mother (you) have spirits and if so: what kind of spirits (please write down the type)?",PBQ_13F,No Key
How much spirits did the mother/ did you have per week?,PBQ_13G,PBQ
If the mother (you) had alcohol: At which stage of pregnancy did the mother (you) have this amount of alcohol?,PBQ_13H,PBQ
Please tell us the exact number of completed weeks of pregnancy when your child was born:,PBQ_14,PBQ
Were there any significant complications during labour or delivery (i.e. pre-eclampsia requiring medication)?,PBQ_14A,PBQ
Did the mother/ you opt for a Cesarian section?,PBQ_15,PBQ
Did the mother/ you require an emergency Cesarian section?,PBQ_16,PBQ
What was the birth weight of your child? (Pounds),PBQ_17,PBQ
What was the birth weight of your child? (Ounces),PBQ_17A,PBQ
What was the birth weight of your child?,PBQ_17B,PBQ
What was the height of your child at birth in cm?,PBQ_18,PBQ
,PBQ_18A,PBQ
How long did the mother/ you stay in hospital for your child's birth?,PBQ_19,PBQ
,PBQ_19A,PBQ
Did your child spend any time in the intensive care unit after birth?,PBQ_21,PBQ
Did the mother/ you breast feed your child?,PBQ_22,PBQ
"For how many weeks did the mother/ you feed the child using breast milk only? (i.e. except for vitamins or medicine, the mother/ you did not give your child any water, formula milk, other liquids or solid food).",PBQ_23,PBQ
,PBQ_23A,PBQ
How old was your child when the mother/ you stopped breast feeding?,PBQ_24,PBQ
,PBQ_24A,PBQ
How old was your child when the mother/ you started feeding formula milk or any other kind of milk?,PBQ_25,PBQ
,PBQ_25A,PBQ
"How old was your child when the mother/ you started feeding him/ her water, juice without sugar or other liquids without sugar?",PBQ_26,PBQ
,PBQ_26A,PBQ
"How old was your child when the mother/ you started feeding him/ her cereals, fruit, vegetables, meat or other solid food?",PBQ_27,PBQ
,PBQ_27A,PBQ
"1. Is cheerful, happy",PBS_01,PBS
"2. Is warm, loving",PBS_02,PBS
3. Is curious and exploring likes new experiences,PBS_03,PBS
4. Gets along well with other kids,PBS_04,PBS
5. Can get over being upset quickly,PBS_05,PBS
6. Is admired and well liked by other kids,PBS_06,PBS
7. Shows concern for other people's feelings,PBS_07,PBS
8. Is easily calmed when (he/she) gets angry,PBS_08,PBS
9. Is helpful and cooperative ,PBS_09,PBS
10. Is considerate and thoughtful of other kids,PBS_10,PBS
"11. Tends to give, lend, and share",PBS_11,PBS
"12. Does things for (him/her)self, is self-reliant",PBS_12,PBS
13. Can easily find something to do on (his/her) own,PBS_13,PBS
14. Shows pride when (he/she) does something well or learns something new,PBS_14,PBS
"15. Sticks up for (him/her) self, is self-assertive",PBS_15,PBS
"16. Is independent, does things (him/her)self",PBS_16,PBS
17. Waits his or her turn during actitivies,PBS_17,PBS
"18. Thinks before he or she acts, is not impulsive",PBS_18,PBS
19. Usually does what I tell (him/her) to do,PBS_19,PBS
20. Is able to concentrate or focus on an activity,PBS_20,PBS
"21. Is obedient, follows rules",PBS_21,PBS
"22. Is calm, easy-going",PBS_22,PBS
23. Sticks with an activity unitl it is finished,PBS_23,PBS
24. Is eager to please,PBS_24,PBS
Scores,PBS_Total,PBS
1. How often does your child disobey time limits you set for online use?,PCIAT_01,PCIAT
2. How often does your child neglect household chores to spend more time online?,PCIAT_02,PCIAT
3. How often does your child prefer to spend time online rather than with the rest of your family?,PCIAT_03,PCIAT
4. How often does your child form new relationships with fellow online users?,PCIAT_04,PCIAT
5. How often do you complain about the amount of time your child spends online?,PCIAT_05,PCIAT
6. How often do your child's grades suffer because of the amount of time he or she spends online?,PCIAT_06,PCIAT
7. How often does your child check his or her e-mail before doing something else?,PCIAT_07,PCIAT
8. How often does your child seem withdrawn from others since discovering the Internet?,PCIAT_08,PCIAT
9. How often does your child become defensive or secretive when asked what he or she does online?,PCIAT_09,PCIAT
10. How often have you caught your child sneaking online against your wishes?,PCIAT_10,PCIAT
11. How often does your child spend time along in his or her room playing on the computer?,PCIAT_11,PCIAT
"""12. How often does your child receive strange phone calls from new """"online"""" friends?""",PCIAT_12,PCIAT
"13. How often does your child snap, yell, or act annoyed if bothered while online?",PCIAT_13,PCIAT
14. How often does your child seem more tired and fatigued than he or she did before the Internet came along?,PCIAT_14,PCIAT
15. How often does your child seem preoccupied with being back online when off-line?,PCIAT_15,PCIAT
16. How often does your child throw tantrums with your interference about how long he or she spends online?,PCIAT_16,PCIAT
17. How often does your child choose to spend time online rather than doing once enjoyed hobbies and/or outside interests?,PCIAT_17,PCIAT
18. How often does your child become angry or belligerent when your place time limits on how much time he or shes is allowed to spend online?,PCIAT_18,PCIAT
19. How often does your child choose to spend more time online than going out with friends?,PCIAT_19,PCIAT
"20. How often does your child feel depressed, moody, or nervous when off-line which seems to go away once back online?",PCIAT_20,PCIAT
Total Score,PCIAT_Total,PCIAT
"In the last 12 months, has your child had headaches, other than headaches with an illness such as a cold or flu?",PM_01,Peds_Migraine
"Has your child ever been diagnosed with a medical condition? (For example diabetes, epilepsy, asthma, etc)",PM_02,Peds_Migraine
above question if YES specification,PM_02_Spec,Peds_Migraine
Has your child ever had an eye check-up?,PM_03,Peds_Migraine
above question if YES specification,PM_03_Spec,Peds_Migraine
Does your child wear glasses? ,PM_04,Peds_Migraine
Has anyone in your family been diagnosed with migraine headaches?,PM_05,Peds_Migraine
above question if YES specification,PM_05_Spec,Peds_Migraine
At what age did your child start to get headaches?,PM_06,Peds_Migraine
Has your child seen a doctor because of headaches? ,PM_07,Peds_Migraine
above question if YES specification,PM_07_Spec,Peds_Migraine
above question if OTHER specification,PM_07_Spec_other,Peds_Migraine
"Awakening your child from sleep, or occuring immediately upon awakening ",PM_08a,Peds_Migraine
Throwing up (vomiting) in the morning,PM_08b,Peds_Migraine
"Worsening with cough, straining or changing positions",PM_08c,Peds_Migraine
Loss of balance or poor coordination causing difficulty with walking ,PM_08d,Peds_Migraine
New seizures (convulsions),PM_08e,Peds_Migraine
Worsening of vision,PM_08f,Peds_Migraine
There has been a dramatic change to your child's headache pattern,PM_08g,Peds_Migraine
What is the total numer of headaches that your child has had? ,PM_09,Peds_Migraine
"On average, how long does your child's headache last if not treated, or if treatment doesn't work?",PM_10,Peds_Migraine
Which of the following best describes the pain your child has with a headache?,PM_11,Peds_Migraine
above question if OTHER specification,PM_11_Other,Peds_Migraine
"During an average headache, how would your child rate the pain on a scale of 1 (very little pain) to 10 (worst pain)? (Circle a number)",PM_12,Peds_Migraine
Where do your child's headaches most often occur?,PM_13,Peds_Migraine
Does your child's headache get worse with physical activity? ,PM_14,Peds_Migraine
Bothered by lights or prefers to be in a dark room,PM_15a,Peds_Migraine
Bothered by noise or preferes to be in a quiet room,PM_15b,Peds_Migraine
Feel sick (nausea) or throws up (vomiting),PM_15c,Peds_Migraine
None of the above,PM_15d,Peds_Migraine
Don't Know,PM_15e,Peds_Migraine
"Before a headache starts, does your child have any of the following for more than 5 minutes, and up to an hour? (Check all that apply)",PM_16a,Peds_Migraine
"Sees flickering, halos, spots or lines of light",PM_16b,Peds_Migraine
Has some loss of vision,PM_16c,Peds_Migraine
"Has tingling or numbness in the face, tongue, fingers or toes",PM_16d,Peds_Migraine
Has difficulty talking,PM_16e,Peds_Migraine
None of the above,PM_16f,Peds_Migraine
Don't Know,PM_17,Peds_Migraine
"In the last 12 months, how often have headaches prevented your child from taking part in activities? (For example school, sports, after-school activities etc)",PM_17,Peds_Migraine
Was WAIS completed?,peg_complete,Pegboard
"If no, reason:",peg_incomplete,Pegboard
Was administration of WAIS valid?,peg_valid,Pegboard
"If invalid, reason:",peg_invalid,Pegboard
Dominant Hand,peg_dom_hand,Pegboard
Dominant Hand - Number of drops,peg_drops_d,Pegboard
Dominant Hand - Completion time (sec),peg_time_d,Pegboard
Dominant Hand - z-score,peg_z_d,Pegboard
Non-dominant Hand - Number of drops,peg_drops_nd,Pegboard
Non-dominant Hand - Completion time (sec),peg_time_nd,Pegboard
Non-dominant Hand - z-score,peg_z_nd,Pegboard
"1. I feel safe walking in my neighborhood, day or night.",PhenX_NS_01,PhenX_Neighborhood
2. Violence is not a problem in my neighborhood.,PhenX_NS_02,PhenX_Neighborhood
3. My neighborhood is safe from crime.,PhenX_NS_03,PhenX_Neighborhood
"1. Putting them all together, what were your grades like last year?",PhenX_School_01,PhenX_Schoo
"2. During the LAST FOUR WEEKS, how many whole days of school have you missed because you skipped or '",PhenX_School_02,PhenX_Schoo
"3. In my school, students have lots of chances to help decide things like class activities and rules.",PhenX_School_03,PhenX_Schoo
4. Teachers ask me to work on special classroom projects.,PhenX_School_04,PhenX_Schoo
5. My teacher(s) notices when I am doing a good job and lets me know about it.,PhenX_School_05,PhenX_Schoo
"6. There are lots of chances for students in my school to get involved in sports, clubs, or other school activities outside of class.",PhenX_School_06,PhenX_Schoo
7. There are lots of chances for students in my school to talk with a teacher one-to-one.,PhenX_School_07,PhenX_Schoo
8. I feel safe at my school.,PhenX_School_08,PhenX_Schoo
9. The school lets my parents know when I have done something well.,PhenX_School_09,PhenX_Schoo
10. My teachers praise me when I work hard in school.,PhenX_School_10,PhenX_Schoo
11. Are your school grades better than the grades of most students in your class?,PhenX_School_11,PhenX_Schoo
12. There are lots of chances to be part of class discussions or activities.,PhenX_School_12,PhenX_Schoo
13. How often do you feel that the schoolwork you are assigned is meaningful and important?,PhenX_School_13,PhenX_Schoo
14. How interesting are most of your courses to you?,PhenX_School_14,PhenX_Schoo
15. How important do you think the things you are learning in school are going to be for your later life?,PhenX_School_15,PhenX_Schoo
a. enjoy being in school?,PhenX_School_16a,PhenX_Schoo
b. hate being in school?,PhenX_School_16b,PhenX_Schoo
c. try to do your best work in school?,PhenX_School_16c,PhenX_Schoo
17. Think about the school you (currently/last) (attend/attended). What grade (are/were) you in?,PhenX_School_17,PhenX_Schoo
18. Most people in my school think it's OK for people my age to drink ,PhenX_School_18,PhenX_Schoo
19. What percentage of the students in your grade at your school have drunk any alcohol this year? Would you say...,PhenX_School_19,PhenX_Schoo
20. What percentage of the students in your grade at your school have drunk any alcohol at least once or twice this month? Would you say...,PhenX_School_20,PhenX_Schoo
21. Most people in my school think it's OK for people my age to smoke cig,PhenX_School_21,PhenX_Schoo
22. What percentage of the students in your grade at your school have smoked any cigarettes this year? Would you say..,PhenX_School_22,PhenX_Schoo
23. What percentage of the students in your grade at your school smoked cigarettes at least once or twice a month. Would you say...,PhenX_School_23,PhenX_Schoo
24. Most people in my school think it's OK to use marijuana (pot,PhenX_School_24,PhenX_Schoo
25. What percentage of the students in your grade in your school have smoked any marijuana this year? Would you say...,PhenX_School_25,PhenX_Schoo
"26. During the past year, what percentage of the students in your grade in your school have smoked marijuana at least once or twice a month? Would you say...",PhenX_School_26,PhenX_Schoo
Participant Age,Age,No Key
Participant Sex,Sex,No Key
Height (in),Height,Physica
Weight (lbs),Weight,Physica
Heart rate (beats/min),HeartRate,Physica
Diastolic BP (mmHg),Diastolic_BP,Physica
Systolic BP (mmHg),Systolic_BP,Physica
BMI (kg/m^2),BMI,Physica
Waist circumference (in),Waist_Circumference,Physica
Little interest or pleasure in doing things?,PMHS_01,PMHS
"Feeling down, depressed, or hopeless?",PMHS_02,PMHS
"Feeling more irritated, grouchy, or angry than usual?",PMHS_03,PMHS
"Sleeping less than usual, but still have a lot of energy?",PMHS_04,PMHS
Starting lots more projects than usual or doing more risky things than usual?,PMHS_05,PMHS
"Feeling nervous, anxious, frightened, worried, or on edge?",PMHS_06,PMHS
Feeling panic or being frightened?,PMHS_07,PMHS
Avoiding situations that make you anxious?,PMHS_08,PMHS
"Unexplained aches and pains (e.g., head, back, joints, abdomen, legs)?",PMHS_09,PMHS
Feeling that your illnesses are not being taken seriously enough?,PMHS_10,PMHS
Thoughts of actually hurting yourself?,PMHS_11,PMHS
"Hearing things other people couldn't hear, such as voices even when no one was around?",PMHS_12,PMHS
"Feeling that someone could hear your thoughts, or that you could hear what another person was thing?",PMHS_13,PMHS
Problems with sleep that affected your sleep quality over all?,PMHS_14,PMHS
"Problems with memory (e.g., learning new information) or with lociation (e.g., finding your way home)?",PMHS_15,PMHS
"Unpleasant thoughts, urges, or images that repeatedly enter your mind?",PMHS_16,PMHS
Feeling down to perform certain behaviors or mental acts over and over again?,PMHS_17,PMHS
"Feeling detached or distant from yourself, your body, your physicical surroudings, or your memories?",PMHS_18,PMHS
Not knowing who you really are or what you want out of life?,PMHS_19,PMHS
Not feeling close to other people or enjoying your relationships with them?,PMHS_20,PMHS
Drinking at least 4 drinks of any kind of alcohol in a single day?,PMHS_21,PMHS
"Smoking any cigarettes, a cigar, or pipe, or using snuff or chewing tabacco?",PMHS_22,PMHS
"Using any of the following medicines ON YOUR OWN, that is, without a doctor's prescroption, in greater amounts or longer than prescribed [e.g., painkillers (like Vicodin), stimulants (like Ritalin or Adderall), sedatives or tranqilizers (like sleeping pills or Valium), or drugs like marijuana, cocaine or crack, club drugs (like ecstasy), hallucinogens (like LSD), heroine, inhalants or solvents (like glue), or methamphetamine (like speed)]?",PMHS_23,PMHS
1. Would you say that your growth in height: ,PPS_M_01,PPS
"""2. And how about the growth of body hair (""""body hair"""" means underarm and pubic hair)? Would you say that your body hair has:""",PPS_M_02,PPS
"3. Have you noticed any skin changes, especially pimples?",PPS_M_03,PPS
4. Have you noticed a deepening of your voice?,PPS_M_04,PPS
5. Have you begun to grow hair on your face?,PPS_M_05,PPS
6. Do you think your development is any earlier or later than most other boys your age?,PPS_M_06,PPS
1. Would you say that your growth in height: ,PPS_F_01,PPS
"""2. And how about the growth of body hair (""""body hair"""" means underarm and pubic hair)? Would you say that your body hair has:""",PPS_F_02,PPS
"3. Have you noticed any skin changes, especially pimples?",PPS_F_03,PPS
4. Have your breasts begun to grow?,PPS_F_04,PPS
5. Do you think your development is any earlier or later than most other girls your age?,PPS_F_05,PPS
6. Have you begun to menstruate?,PPS_F_06,PPS
Final Score (Male),PPS_M_Score,PPS
Final Score (Female),PPS_F_Score,PPS
Was PPVT complete?,PPVT_Complete,PPVT
"If no, then reason:",PPVT_IncompleteReason,PPVT
Was PPVT administration valid?,PPVT_Valid,PPVT
"If no, then reason:",PPVT_Invalid_Reason,PPVT
"If no, then possibly due to language background",PPVT4_Valid_Possible,PPVT
PPVT raw score,PPVT4_RawScore,PPVT
PPVT standard score,PPVT4_StandardScore,PPVT
PPVT percentile,PPVT4_Percentile,PPVT
Did participant opt out of pregnancy test?,pregnancy_opt_out,Pregnancy
Test result:,Preg_Test,Pregnancy
Age of participant,age,Pregnancy
With whom is your child living? Check all that apply (Unchecked = 0),living_01,PreInt_Demos_Home
,living_02,PreInt_Demos_Home
,living_03,PreInt_Demos_Home
,living_04,PreInt_Demos_Home
,living_05,PreInt_Demos_Home
,living_06,PreInt_Demos_Home
,living_07,PreInt_Demos_Home
,living_08,PreInt_Demos_Home
,living_09,PreInt_Demos_Home
,living_10,PreInt_Demos_Home
